symbol,leg,pair_name,premium_pct,target_weight,a_close_raw,h_close_raw_cny,a_close_adj,h_close_adj_cny
300750.SZ,A,宁德时代,-28.467133697984327,0.1,263.05,367.73306257488485,263.05,367.73306257488485
600036.SH,A,招商银行,-3.3158279259314027,0.1,45.15,46.69843991156186,45.15,46.69843991156186
601899.SH,A,紫金矿业,-1.3704857556900318,0.1,20.3,20.582074397848032,20.3,20.582074397848032
000333.SZ,A,美的集团,-0.5842090279874701,0.1,71.48,71.90004656314912,71.48,71.90004656314912
603259.SH,A,药明康德,-0.3902723532482222,0.1,91.21,91.56736209887057,91.21,91.56736209887057
01057.HK,H,浙江世宝,164.73243859155335,0.1,12.52,4.7293033171944145,12.52,4.7293033171944145
01033.HK,H,中石化油服,176.0290284731458,0.1,2.02,0.7318070897012634,2.02,0.7318070897012634
01349.HK,H,复旦张江,176.86943042496156,0.1,10.46,3.777954100582772,10.46,3.777954100582772
02218.HK,H,安德利果汁,184.5988744166282,0.1,49.1,17.252352139707284,49.1,17.252352139707284
03678.HK,H,弘业期货,203.9950781502705,0.1,12.18,4.0066438161144164,12.170283207020343,4.0066438161144164
